product_id,upc_id,product_name,category,subcategory,price,description,images,sku
75904100012,7.59E+11,GO CAT REFILL DA RAT,cat,Cat Toys,6.99,,"https://static.wixstatic.com/media/342ac5_0df48883ef184d258d28bc87c94080a5~mv2_d_2805_3000_s_4_2.jpg/v1/fill/w_155,h_166,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_0df48883ef184d258d28bc87c94080a5~mv2_d_2805_3000_s_4_2.jpg",
75904100501,7.59E+11,GO CAT DA REFILL BEE,cat,Cat Toys,7.99,,"https://static.wixstatic.com/media/342ac5_7d061d0c574948fb85700e9961e1bbf8~mv2_d_2379_2425_s_2.jpg/v1/fill/w_155,h_148,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_7d061d0c574948fb85700e9961e1bbf8~mv2_d_2379_2425_s_2.jpg",
6.80E+11,6.80E+11,GO CAT DA FISH ZEBRA REFILL,cat,Cat Toys,5.99,,"https://static.wixstatic.com/media/342ac5_7bd2194b1c5949cba69a9bd7795076dd~mv2_d_2348_1795_s_2.jpg/v1/fill/w_196,h_148,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_7bd2194b1c5949cba69a9bd7795076dd~mv2_d_2348_1795_s_2.jpg",
75904100502,7.59E+11,GO CAT DA FISH ZEBRA,cat,Cat Toys,10.99,,"https://static.wixstatic.com/media/c13ecc_93a74c4daceb4fe4a201868d2e9f855a~mv2.jpg/v1/fill/w_142,h_187,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/c13ecc_93a74c4daceb4fe4a201868d2e9f855a~mv2.jpg",
75904100018,7.59E+11,GO CAT SPARKLER,cat,Cat Toys,3.99,,"https://static.wixstatic.com/media/c13ecc_6d4bf41bc8c949da8733b8db30685be2~mv2.jpg/v1/fill/w_202,h_215,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/c13ecc_6d4bf41bc8c949da8733b8db30685be2~mv2.jpg",
75904100079,7.59E+11,GO CAT SPARKLING KITTY DUSTER,cat,Cat Toys,4.49,,"https://static.wixstatic.com/media/c13ecc_6d4bf41bc8c949da8733b8db30685be2~mv2.jpg/v1/fill/w_202,h_215,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/c13ecc_6d4bf41bc8c949da8733b8db30685be2~mv2.jpg",
GCCB,,GO CAT CRINKLE BALL LG,cat,Cat Toys,2.99,,,
75904100181,7.59E+11,GO CAT BAT AROUND FURBALL 3PK,cat,Cat Toys,3.99,,"https://static.wixstatic.com/media/342ac5_7f461e42e8374a35b88c3b93d92ca82a.jpg/v1/fill/w_124,h_167,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_7f461e42e8374a35b88c3b93d92ca82a.jpg",
68016897851,6.80E+11,GO CAT SUPER ROD,cat,Cat Toys,4.99,,"https://static.wixstatic.com/media/342ac5_1d9b8dcdfd4e4fea8d5b8ff21967e99b~mv2_d_1589_4417_s_2.jpg/v1/fill/w_135,h_379,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_1d9b8dcdfd4e4fea8d5b8ff21967e99b~mv2_d_1589_4417_s_2.jpg",
75904100175,7.59E+11,GO CAT CATNIP PILLOW,cat,Cat Toys,3.99,,"https://static.wixstatic.com/media/342ac5_4239a38d9fae49288ee79d04f7ed8c70.jpg/v1/fill/w_223,h_167,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_4239a38d9fae49288ee79d04f7ed8c70.jpg",
75904100270,7.59E+11,GO CAT SPARKLER ACCESSORY,cat,Cat Toys,3.99,,"https://static.wixstatic.com/media/342ac5_90ceedb6f16d449c8d2bca664ec425e9~mv2_d_2439_2000_s_2.jpg/v1/fill/w_192,h_154,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_90ceedb6f16d449c8d2bca664ec425e9~mv2_d_2439_2000_s_2.jpg",
75904100602,7.59E+11,GO CAT DA CATAPILLA,cat,Cat Toys,6.99,,"https://static.wixstatic.com/media/c13ecc_e1bfc1c693ac4250bde7b27a67c625dd~mv2.jpeg/v1/fill/w_130,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/c13ecc_e1bfc1c693ac4250bde7b27a67c625dd~mv2.jpeg",
75904100010,7.59041E+11,GO CAT DA BIRD TOY,cat,Cat Toys,8.99,,"https://static.wixstatic.com/media/342ac5_d339828db36948c0b77c08fecee1395d.jpg/v1/fill/w_194,h_254,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_d339828db36948c0b77c08fecee1395d.jpg, https://static.wixstatic.com/media/342ac5_83f0f8ad1c2d4973816f97b61b1de560~mv2.jpg/v1/fill/w_177,h_177,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_83f0f8ad1c2d4973816f97b61b1de560~mv2.jpg, https://static.wixstatic.com/media/342ac5_d95e59042beb46c5b5c282b340a2b284~mv2_d_2000_2000_s_2.jpg/v1/fill/w_177,h_177,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/342ac5_d95e59042beb46c5b5c282b340a2b284~mv2_d_2000_2000_s_2.jpg",
