type,product_internal_id,product_sku,product_name,product_price,product_compare_to_price,product_is_inventory_tracked,product_quantity,product_quantity_out_of_stock_behaviour,product_low_stock_notification_quantity,product_quantity_minimum_allowed_for_purchase,product_quantity_maximum_allowed_for_purchase,product_is_available,product_media_main_image_url,product_media_main_image_alt,product_media_gallery_image_url_1,product_media_gallery_image_alt_1,product_media_gallery_image_url_2,product_media_gallery_image_alt_2,product_media_gallery_image_url_3,product_media_gallery_image_alt_3,product_media_gallery_image_url_4,product_media_gallery_image_alt_4,product_media_gallery_image_url_5,product_media_gallery_image_alt_5,product_media_gallery_image_url_6,product_media_gallery_image_alt_6,product_media_gallery_image_url_7,product_media_gallery_image_alt_7,product_media_gallery_image_url_8,product_media_gallery_image_alt_8,product_media_gallery_image_url_9,product_media_gallery_image_alt_9,product_media_gallery_image_url_10,product_media_gallery_image_alt_10,product_media_gallery_image_url_11,product_media_gallery_image_alt_11,product_media_gallery_image_url_12,product_media_gallery_image_alt_12,product_media_gallery_image_url_13,product_media_gallery_image_alt_13,product_media_gallery_image_url_14,product_media_gallery_image_alt_14,product_media_gallery_image_url_15,product_media_gallery_image_alt_15,product_media_gallery_image_url_16,product_media_gallery_image_alt_16,product_media_gallery_image_url_17,product_media_gallery_image_alt_17,product_description,product_category_1,product_category_2,product_category_3,product_is_featured,product_is_featured_order_by,product_brand,product_upc,product_weight,product_is_shipping_required,product_length,product_width,product_height,product_shipping_preparation_time_for_shipping_in_days,product_shipping_preparation_time_for_pickup_in_minutes,product_shipping_preparation_time_for_local_delivery_in_minutes,product_shipping_preparation_time_for_preorders_in_days,product_shipping_show_delivery_date_on_the_product_page,product_shipping_type,product_shipping_fixed_rate,product_shipping_method_markup,product_shipping_white_list,product_shipping_black_list,product_tax_class_code,product_battery_included,product_seo_title,product_seo_description,product_related_item_ids,product_related_item_skus,product_related_items_random,product_related_items_random_category,product_related_items_random_number_of_items,product_custom_price_enabled,product_subscription_enabled,product_subscription_one_time_purchase_enabled,product_subscription_one_time_purchase_price,product_subscription_price_with_signup_fee,product_subscription_recurring_interval,product_subscription_recurring_interval_count,product_google_product_category_code,product_option_name,product_option_type,product_option_is_required,product_option_value,product_option_markup,product_option_is_default_option_selection,product_option_swatch_hex_value,product_option_swatch_image,product_option_swatch_selector_is_image,category_internal_id,category_path,category_is_available,category_description,category_seo_title,category_seo_description,category_image,category_image_alt,category_order_by,source_store_id,url
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri 'Petite',0.98,FALSE,,,,,,,,,,,,,116574270,
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri var. barteri,0.98,FALSE,,,,,,,,,,,,,116574270,
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri var. caladiifolia,0.98,FALSE,,,,,,,,,,,,,116574270,
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri var. nana ’Kirin’,1.81,FALSE,,,,,,,,,,,,,116574270,
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri var. nana 'Large',0.98,FALSE,,,,,,,,,,,,,116574270,
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,barteri var. nana ’Pinto’,1.81,FALSE,,,,,,,,,,,,,116574270,
product_option,751645975,101 TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,DROPDOWNLIST,TRUE,Gracilis,0.98,FALSE,,,,,,,,,,,,,116574270,
product,760855214,101H,Anubias barteri 'Petite',15.99,,TRUE,0,,1,,,TRUE,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/4991038759.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/4991038764.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/4991038769.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/4991017236.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/4991034355.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Anubias sp. ‘Petite’ is a mutation which appeared in cultivation at the Oriental aquarium plant nursery in Singapore. Stays less than 5 cm tall, has very small leaves and a rhizome of 5-10 cm or more from which the leaves will grow. Branches well and creates dense groups. Undemanding like the other Anubias and does not appreciate high light intensity either. It is most decorative when attached to stones or roots, and like other Anubias it should be attached with fishing line until it gains a hold. If planted in the bottom, do not cover the rhizome as this may cause the plant to rot and die. An ideal plant for miniature landscapes in small aquariums but will also attract attention in larger tanks. </p><div><a href=""https://tropica.com/imagegen.ashx?height=720&image=/Plants/101H/1.png&crop=resize&class=product"" class=""fancybox"" data-fancybox-group=""gallery""><img src=""https://tropica.com/imagegen.ashx?width=300&image=/Plants/101H/1.png&crop=resize&class=product""></a></div><h3>Plant info</h3><table class=""specficationTable ecwid-description-table""><tbody><tr><th>Origin:</th><td>Cultivar</td><td><a helptextid=""plant-spec-help-origin""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>Growth rate:</th><td>Slow</td><td><a helptextid=""plant-spec-help-growthrate""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>Height:</th><td>3 - 5+</td><td><a helptextid=""plant-spec-help-height""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>Light demand:</th><td></td><td><a helptextid=""plant-spec-help-light""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>CO2 :</th><td></td><td><a helptextid=""plant-spec-help-co2""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr></tbody></table>",Aquatic / Live Plants-Potted,Best Sellers,,TRUE,69,,,1,TRUE,0,0,0,,,,,FALSE,GLOBAL_METHODS,0,0,,,default,FALSE,Anubias barteri 'Petite',"Anubias sp. ‘Petite’ is a mutation which appeared in cultivation at the Oriental aquarium plant nursery in Singapore. Stays less than 5 cm tall, has very small leaves and a rhizome of 5-10 cm or more from which the leaves will grow. Branches well and creates dense groups. Undemanding like the other…",,,FALSE,,5,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,116574270,https://www.sierrafishandpets.com/store/Anubias-barteri-Petite-p760855214
product,766113912,101,Anubias barteri var. nana,15.99,,TRUE,0,,1,,,TRUE,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/5039816091.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/5039815864.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/5039815645.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/5039816101.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Anubias barteri var. nana is a small, attractive plant that thrives in all conditions.</p><div><p>It originates from Cameroon and will reach 5-10 cm height. The rhizome will be 10-15 cm or more. It grows slowly, and the leaves survive for several years, giving slow-growing algae the chance to become established. The best result is achieved by planting on a stone or tree root. Fishing line can be used to attach the plant until it gains a hold. If planted on the bottom the rhizome must not be covered because it tends to rot.</p><p>It flowers frequently under water and will thrive in shady places, where other plants will not. It is not eaten by herbivorous fish. </p> </div><div><a href=""https://tropica.com/imagegen.ashx?height=720&image=/Plants/101/1.JPG&crop=resize&class=product"" class=""fancybox"" data-fancybox-group=""gallery""><img src=""https://tropica.com/imagegen.ashx?width=300&image=/Plants/101/1.JPG&crop=resize&class=product""></a></div><h3>Plant info</h3><table class=""specficationTable ecwid-description-table""><tbody><tr><th>Type:</th><td>Rhizomatous</td><td></td></tr><tr><th>Origin:</th><td>Africa</td><td><a helptextid=""plant-spec-help-origin""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>Growth rate:</th><td></td><td><a helptextid=""plant-spec-help-growthrate""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>Height:</th><td>5 - 15+</td><td><a helptextid=""plant-spec-help-height""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>Light demand:</th><td></td><td><a helptextid=""plant-spec-help-light""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr><tr><th>CO2 :</th><td></td><td><a helptextid=""plant-spec-help-co2""><img src=""https://tropica.com/graphics/web/product-spec-helptext-plus.png""></a></td></tr></tbody></table>",Aquatic / Live Plants-Potted,,,FALSE,,,,1,TRUE,0,0,0,,,,,FALSE,GLOBAL_METHODS,0,0,,,default,FALSE,Anubias barteri var. nana,"Anubias barteri var. nana is a small, attractive plant that thrives in all conditions. It originates from Cameroon and will reach 5-10 cm height. The rhizome will be 10-15 cm or more. It grows slowly, and the leaves survive for several years, giving slow-growing algae the chance to become…",,,FALSE,,5,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,116574270,https://www.sierrafishandpets.com/store/Anubias-barteri-var-nana-p766113912
product,746173475,1,API Fish Care Ammo-Lock Freshwater & Saltwater Aquarium Ammonia Detoxifier Bottle (4 oz),7.99,,FALSE,0,SHOW,1,,,TRUE,https://d2j6dbq0eux0bg.cloudfront.net/images/116574270/4889243454.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquatic,Aquatic / Aquarium Chemicals\/Treatments,,FALSE,,,,0,TRUE,0,0,0,,,,,FALSE,GLOBAL_METHODS,0,0,,,default,FALSE,API Fish Care Ammo-Lock Freshwater & Saltwater Aquarium Ammonia Detoxifier Bottle (4 oz),,,,TRUE,,5,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,116574270,https://www.sierrafishandpets.com/store/API-Fish-Care-Ammo-Lock-Freshwater-&-Saltwater-Aquarium-Ammonia-Detoxifier-Bottle-4-oz-p746173475
